iter	Logloss
0	0.6522379575
1	0.6170588203
2	0.5913475304
3	0.5728336269
4	0.5599184104
5	0.5507565083
6	0.5352685767
7	0.5218252333
8	0.51516332
9	0.5088590863
10	0.505979767
11	0.5013543569
12	0.4883149029
13	0.47921088
14	0.4693148307
15	0.464808331
16	0.4636985404
17	0.4624023589
18	0.4548936705
19	0.4534247142
20	0.4483172372
21	0.4437251944
22	0.4390941606
23	0.4299203044
24	0.4287897057
25	0.422679055
26	0.4162098846
27	0.415201737
28	0.4088394894
29	0.408738855
30	0.4033409203
31	0.4028656075
32	0.4011131855
33	0.3983744103
34	0.3959177775
35	0.393540731
36	0.3908836383
37	0.3908208813
38	0.390625075
39	0.388652072
40	0.3867035206
41	0.3843053908
42	0.3802681579
43	0.3802681242
44	0.3800831513
45	0.3792307808
46	0.3792307379
47	0.3734353066
48	0.3707213129
49	0.3706236359
50	0.3706232579
51	0.37059271
52	0.3705864644
53	0.3674569808
54	0.3662057958
55	0.3661113886
56	0.3660698207
57	0.3658517611
58	0.3607332072
59	0.3576193451
60	0.3515676249
61	0.3507695051
62	0.3507081297
63	0.3506027447
64	0.3499321527
65	0.3499248749
66	0.3478563216
67	0.3433038948
68	0.3432207562
69	0.3431477699
70	0.3380102179
71	0.3319732863
72	0.3319632474
73	0.3319612491
74	0.3296797873
75	0.3295948345
76	0.3295940806
77	0.3281650074
78	0.3272673936
79	0.3265226333
80	0.3264439824
81	0.3263601103
82	0.3260804366
83	0.3225928183
84	0.3201077359
85	0.3195158939
86	0.3174953976
87	0.3161291458
88	0.3142257722
89	0.3132233065
90	0.3090284175
91	0.3075165061
92	0.301885102
93	0.300098488
94	0.2953311425
95	0.2943232285
96	0.29207407
97	0.2899333259
98	0.2875453723
99	0.2858544842
100	0.2842983469
101	0.2833666332
102	0.2823879716
103	0.2805571927
104	0.2793486249
105	0.2771987331
106	0.2751996185
107	0.2707125884
108	0.2693633462
109	0.268846394
110	0.2630921431
111	0.262002775
112	0.2600683518
113	0.2597238451
114	0.2572594416
115	0.2549879836
116	0.2530068659
117	0.2517044908
118	0.2492666296
119	0.2476150055
120	0.2432884407
121	0.2422564029
122	0.2412659887
123	0.2397291518
124	0.2391034449
125	0.2373484297
126	0.2361462751
127	0.2350458159
128	0.2345305205
129	0.2322973674
130	0.2315667111
131	0.2301257158
132	0.2290816845
133	0.2268368089
134	0.2246314958
135	0.2230835451
136	0.2208990606
137	0.2201531291
138	0.2192176114
139	0.2174845285
140	0.2161413065
141	0.2152341541
142	0.2142017387
143	0.2130536774
144	0.2115689861
145	0.2109806204
146	0.2094428643
147	0.207961204
148	0.2064691057
149	0.2046047109
150	0.2039356841
151	0.2026510713
152	0.2021167353
153	0.2002583054
154	0.19978531
155	0.1986726498
156	0.1974414292
157	0.196937647
158	0.1954953353
159	0.1938154597
160	0.1933620561
161	0.1927327773
162	0.1910519456
163	0.1901938977
164	0.1887545478
165	0.1879303355
166	0.1875467256
167	0.1866617911
168	0.1856506555
169	0.1848096874
170	0.1839568691
171	0.1832676331
172	0.182245335
173	0.1818423699
174	0.1813436274
175	0.1807829883
176	0.1797582759
177	0.1795260494
178	0.1781452387
179	0.177209394
180	0.1763481858
181	0.1759421848
182	0.175345667
183	0.1742789733
184	0.1731745823
185	0.1722628519
186	0.1717258089
187	0.1709004553
188	0.1699083369
189	0.1688808527
190	0.1667909296
191	0.1663267149
192	0.1655617127
193	0.165086267
194	0.1644561581
195	0.1636418206
196	0.1630592259
197	0.1622853469
198	0.1601344315
199	0.1592353324
