iter	Passed	Remaining
0	67	13450
1	135	13372
2	195	12842
3	211	10387
4	228	8895
5	236	7633
6	295	8146
7	354	8515
8	377	8006
9	399	7585
10	412	7090
11	436	6833
12	510	7343
13	582	7736
14	645	7960
15	703	8095
16	715	7697
17	742	7508
18	800	7627
19	816	7345
20	878	7488
21	944	7642
22	1006	7741
23	1071	7858
24	1091	7637
25	1151	7708
26	1225	7852
27	1279	7857
28	1355	7990
29	1366	7741
30	1432	7811
31	1444	7582
32	1510	7645
33	1574	7685
34	1668	7867
35	1742	7937
36	1803	7946
37	1811	7722
38	1826	7539
39	1887	7551
40	1946	7548
41	2006	7546
42	2070	7560
43	2074	7355
44	2098	7229
45	2158	7227
46	2163	7041
47	2218	7024
48	2274	7008
49	2288	6866
50	2292	6698
51	2304	6559
52	2313	6417
53	2371	6412
54	2404	6338
55	2415	6210
56	2423	6079
57	2447	5991
58	2504	5985
59	2564	5983
60	2626	5985
61	2685	5977
62	2700	5871
63	2706	5751
64	2766	5744
65	2778	5641
66	2837	5632
67	2898	5625
68	2908	5522
69	2921	5426
70	2978	5411
71	3039	5403
72	3050	5307
73	3053	5199
74	3113	5189
75	3122	5094
76	3126	4994
77	3186	4983
78	3244	4969
79	3308	4962
80	3315	4871
81	3321	4780
82	3352	4725
83	3407	4704
84	3466	4690
85	3489	4625
86	3550	4611
87	3611	4596
88	3670	4577
89	3729	4558
90	3789	4539
91	3851	4521
92	3910	4499
93	3968	4475
94	4030	4454
95	4089	4430
96	4151	4408
97	4213	4385
98	4274	4361
99	4335	4335
100	4398	4311
101	4461	4286
102	4524	4260
103	4587	4234
104	4647	4204
105	4714	4180
106	4775	4150
107	4837	4121
108	4896	4087
109	4961	4059
110	5025	4029
111	5092	4000
112	5158	3971
113	5219	3937
114	5281	3903
115	5341	3867
116	5399	3830
117	5458	3793
118	5519	3756
119	5575	3717
120	5635	3679
121	5696	3641
122	5754	3602
123	5815	3564
124	5877	3526
125	5938	3487
126	5997	3447
127	6063	3410
128	6122	3369
129	6184	3329
130	6244	3288
131	6305	3248
132	6367	3207
133	6426	3165
134	6485	3122
135	6549	3082
136	6607	3038
137	6668	2995
138	6724	2951
139	6785	2908
140	6847	2865
141	6907	2821
142	6966	2776
143	7026	2732
144	7085	2687
145	7142	2641
146	7204	2597
147	7261	2551
148	7331	2509
149	7391	2463
150	7452	2418
151	7512	2372
152	7571	2325
153	7630	2279
154	7690	2232
155	7754	2187
156	7813	2140
157	7873	2092
158	7933	2045
159	7995	1998
160	8057	1951
161	8117	1904
162	8178	1856
163	8237	1808
164	8301	1761
165	8361	1712
166	8421	1664
167	8485	1616
168	8544	1567
169	8606	1518
170	8670	1470
171	8732	1421
172	8793	1372
173	8853	1322
174	8915	1273
175	8980	1224
176	9039	1174
177	9105	1125
178	9165	1075
179	9224	1024
180	9286	974
181	9349	924
182	9412	874
183	9472	823
184	9531	772
185	9592	722
186	9655	671
187	9718	620
188	9782	569
189	9861	519
190	9928	467
191	9994	416
192	10059	364
193	10119	312
194	10179	261
195	10240	208
196	10301	156
197	10364	104
198	10424	52
199	10492	0
